Date,open,High,Low,close,adj_close,volume
2019-01-02,22.549999,24.200001,22.280001,24.059999,23.765604,10.4534800
2019-01-03,23.959999,24.820000,23.799999,24.650000,24.348383,95.206400
2019-01-04,24.850000,24.940001,24.469999,24.719999,24.417526,72.119800
2019-01-07,24.850000,25.920000,24.700001,25.110001,24.802757,12.1711900
2019-01-08,25.400000,25.420000,24.770000,24.959999,24.654589,68.761800
2019-01-09,25.299999,25.500000,25.150000,25.480000,25.168226,70.177600
2019-01-10,25.260000,25.410000,25.070000,25.260000,24.950920,54.763700
2019-01-11,25.150000,25.190001,24.840000,24.990000,24.684223,53.980700
2019-01-14,24.820000,25.090000,24.660000,24.850000,24.545937,46.577300
2019-01-15,24.830000,25.120001,24.700001,24.830000,24.526182,53.731500
2019-01-16,24.799999,24.900000,24.660000,24.820000,24.516304,40.425000
2019-01-17,24.750000,25.299999,24.680000,25.160000,24.852144,50.359400
2019-01-18,25.440001,25.559999,25.280001,25.400000,25.089207,67.021300
2019-01-21,25.309999,25.530001,25.100000,25.530001,25.217615,45.336500
2019-01-22,25.260000,25.500000,25.020000,25.129999,24.822510,61.307000
2019-01-23,25.330000,25.540001,25.160000,25.430000,25.118839,52.931600
2019-01-24,25.400000,25.540001,25.320000,25.540001,25.227497,40.109000
2019-01-28,25.290001,25.530001,24.740000,24.770000,24.466917,65.079900
2019-01-29,25.250000,25.559999,25.110001,25.370001,25.059574,59.419200
2019-01-30,25.809999,25.930000,25.469999,25.620001,25.306515,62.607500
2019-01-31,25.870001,25.959999,25.559999,25.580000,25.267004,63.253600
2019-02-01,25.500000,25.850000,25.370001,25.799999,25.484310,47.957400
2019-02-04,25.840000,26.120001,25.600000,26.030001,25.711498,53.874900
2019-02-05,25.910000,26.100000,25.809999,26.080000,25.760887,40.989100
2019-02-06,25.799999,25.840000,25.320000,25.490000,25.178106,64.527000
2019-02-07,25.600000,25.850000,24.660000,25.090000,24.782999,55.614100
2019-02-08,24.799999,25.280001,24.730000,25.129999,24.822510,40.153900
2019-02-11,25.170000,25.170000,24.540001,24.840000,24.536058,39.617300
2019-02-12,25.320000,25.850000,25.230000,25.719999,25.405291,72.467200
2019-02-13,26.020000,26.209999,25.850000,26.049999,25.731253,69.042200
2019-02-14,26.170000,26.950001,26.000000,26.950001,26.620241,81.125500
2019-02-15,26.860001,27.020000,26.709999,26.840000,26.511587,63.841800
2019-02-18,26.590000,26.790001,26.410000,26.760000,26.432568,43.379000
2019-02-19,26.860001,27.400000,26.840000,27.379999,27.044979,58.041900
2019-02-20,27.500000,27.660000,26.870001,27.040001,26.709141,55.114500
2019-02-21,27.180000,27.490000,26.820000,27.400000,27.064734,46.559400
2019-02-22,27.549999,27.700001,27.129999,27.129999,26.798038,36.602000
2019-02-25,27.000000,27.030001,26.629999,26.700001,26.373302,54.190800
2019-02-26,26.760000,27.139999,26.570000,26.580000,26.254768,46.504200
2019-02-27,26.840000,27.250000,26.629999,27.080000,26.748650,49.131400
2019-02-28,27.719999,27.750000,26.600000,27.059999,26.728895,93.065100
2019-03-01,27.139999,27.250000,26.629999,26.700001,26.373302,41.978700
2019-03-06,26.549999,26.760000,26.469999,26.760000,26.432568,18.423400
2019-03-07,26.799999,26.910000,26.490000,26.770000,26.442444,32.835300
2019-03-08,26.490000,26.750000,26.219999,26.670000,26.343668,49.564400
2019-03-11,27.020000,27.780001,27.010000,27.750000,27.410452,66.742800
2019-03-12,27.790001,27.959999,27.250000,27.500000,27.163511,64.287300
2019-03-13,27.590000,28.129999,27.520000,28.100000,27.756170,61.057200
2019-03-14,28.150000,28.200001,27.910000,28.190001,27.845070,42.777800
2019-03-15,28.160000,28.389999,28.110001,28.250000,27.904335,61.041100
2019-03-18,28.350000,28.790001,28.260000,28.740000,28.388336,91.920600
2019-03-19,28.850000,29.500000,28.600000,29.200001,28.842710,69.423600
2019-03-20,29.200001,29.600000,28.900000,28.969999,28.615522,68.878000
2019-03-21,28.840000,28.969999,27.920000,28.559999,28.210539,80.121300
2019-03-22,27.940001,28.139999,27.000000,27.000000,26.669630,10.4731100
2019-03-25,26.830000,27.590000,26.820000,27.340000,27.005468,10.4772900
2019-03-26,27.740000,28.680000,27.719999,28.629999,28.279684,91.549100
2019-03-27,28.209999,28.209999,27.340000,27.340000,27.005468,66.415400
2019-03-28,27.250000,28.059999,26.950001,28.059999,27.716660,69.412700
2019-03-29,28.450001,28.530001,27.740000,28.059999,27.716660,51.587400
2019-04-01,28.400000,28.420000,27.870001,28.000000,27.657393,42.289800
2019-04-02,28.139999,28.299999,27.860001,28.290001,27.943846,38.460600
2019-04-03,28.530001,28.559999,27.540001,27.540001,27.203022,55.120900
2019-04-04,27.770000,28.469999,27.370001,28.469999,28.121641,52.248100
2019-04-05,28.540001,28.889999,28.209999,28.780001,28.427851,54.708900
2019-04-08,29.059999,29.389999,28.980000,29.250000,28.892099,55.270000
2019-04-09,29.030001,29.240000,28.670000,29.160000,28.803200,43.863700
2019-04-10,29.549999,29.570000,28.780001,28.780001,28.427851,62.005200
2019-04-11,28.700001,28.700001,27.870001,28.000000,27.657393,56.126400
2019-04-12,26.469999,26.969999,25.570000,25.830000,25.513945,22.7307600
2019-04-15,26.350000,26.580000,25.549999,25.930000,25.612722,11.7567200
2019-04-16,25.950001,27.059999,25.629999,26.719999,26.393053,95.149300
2019-04-17,27.120001,27.340000,26.219999,26.750000,26.422688,10.3988400
2019-04-18,27.360001,27.889999,27.250000,27.600000,27.262287,10.0942100
2019-04-22,27.690001,27.889999,27.320000,27.440001,27.104246,45.321900
2019-04-23,27.719999,28.000000,27.680000,27.680000,27.341309,52.199500
2019-04-24,27.719999,27.889999,27.209999,27.600000,27.262287,57.704700
2019-04-25,27.450001,28.070000,27.430000,27.799999,27.459841,55.201700
2019-04-26,27.680000,27.770000,27.059999,27.250000,26.935459,52.616600
2019-04-29,27.549999,27.620001,27.340000,27.370001,27.054075,27.689800
2019-04-30,27.520000,27.660000,26.980000,27.110001,26.797075,39.570700
2019-05-02,26.799999,26.820000,26.520000,26.730000,26.421459,37.820300
2019-05-03,26.900000,27.070000,26.850000,26.850000,26.540077,33.334800
2019-05-06,26.389999,26.770000,26.360001,26.770000,26.460999,31.715900
2019-05-07,26.650000,26.660000,26.120001,26.350000,26.045847,52.454400
2019-05-08,26.309999,27.469999,26.290001,27.370001,27.054075,71.780300
2019-05-09,27.100000,27.120001,26.639999,26.830000,26.520306,46.663300
2019-05-10,26.870001,26.920000,26.420000,26.680000,26.372038,33.336000
2019-05-13,26.209999,26.469999,25.820000,25.900000,25.601040,43.146100
2019-05-14,26.170000,26.230000,25.850000,26.000000,25.699886,34.968600
2019-05-15,25.740000,25.889999,25.660000,25.879999,25.581272,37.053900
2019-05-16,25.770000,26.040001,25.240000,25.270000,24.978313,46.502200
2019-05-17,25.049999,25.420000,24.469999,24.680000,24.395124,67.291200
2019-05-20,24.680000,25.520000,24.639999,25.520000,25.225428,54.472000
2019-05-21,25.700001,26.490000,25.420000,26.490000,26.184231,57.846700
2019-05-22,26.340000,26.469999,25.959999,26.290001,26.085011,48.439300
2019-05-23,25.900000,25.920000,25.520000,25.840000,25.638519,49.527400
2019-05-24,26.150000,26.360001,25.930000,26.090000,25.886570,35.915100
2019-05-27,26.299999,26.540001,26.170000,26.240000,26.035400,33.892000
2019-05-28,26.129999,26.799999,26.129999,26.799999,26.591034,60.774600
2019-05-29,26.490000,26.709999,26.260000,26.500000,26.293373,43.124400
2019-05-30,26.510000,26.860001,25.990000,26.150000,25.946102,71.847200
2019-05-31,25.790001,26.270000,25.420000,25.549999,25.350780,63.137200
2019-06-03,25.879999,26.320000,25.850000,25.990000,25.787350,53.470600
2019-06-04,26.290001,26.370001,26.030001,26.200001,25.995712,37.331100
2019-06-05,26.180000,26.290001,25.559999,25.860001,25.658363,65.282100
2019-06-06,26.170000,26.629999,25.719999,26.280001,26.075089,87.836900
2019-06-07,26.690001,26.830000,26.370001,26.760000,26.551346,52.235500
2019-06-10,26.600000,26.889999,26.520000,26.650000,26.442204,39.666800
2019-06-11,26.889999,27.290001,26.709999,27.160000,26.948227,52.437000
2019-06-12,27.020000,27.120001,26.639999,26.850000,26.640644,43.392200
2019-06-13,27.150000,27.389999,27.080000,27.180000,26.968071,48.981600
2019-06-14,27.200001,27.250000,26.900000,27.059999,26.849007,42.802400
2019-06-17,27.080000,27.430000,26.959999,27.110001,26.898617,49.290000
2019-06-18,27.299999,27.520000,27.250000,27.450001,27.235966,31.332800
2019-06-19,27.350000,27.590000,27.219999,27.520000,27.305420,33.286300
2019-06-21,27.950001,28.389999,27.950001,28.280001,28.059494,58.424700
2019-06-24,28.320000,28.379999,28.120001,28.250000,28.029728,27.365000
2019-06-25,28.139999,28.160000,27.379999,27.510000,27.295498,56.472100
2019-06-26,27.549999,27.930000,27.520000,27.670000,27.454250,48.901500
2019-06-27,27.440001,27.549999,27.010000,27.230000,27.017681,55.219200
2019-06-28,27.450001,27.610001,27.110001,27.410000,27.196278,40.262000
2019-07-01,27.840000,28.030001,27.209999,27.260000,27.047447,46.759100
2019-07-02,27.260000,27.260000,26.650000,26.820000,26.610878,57.954200
2019-07-03,27.040001,27.200001,26.889999,27.180000,26.968071,29.291800
2019-07-04,27.379999,27.580000,27.320000,27.389999,27.176434,28.577400
2019-07-05,27.270000,27.590000,27.129999,27.400000,27.186356,27.414700
2019-07-08,27.500000,27.719999,27.440001,27.650000,27.434406,25.318200
2019-07-10,28.000000,28.270000,27.969999,28.070000,27.851131,50.715800
2019-07-11,28.200001,28.510000,28.160000,28.400000,28.178558,48.206900
2019-07-12,28.540001,28.740000,28.410000,28.530001,28.307545,40.908900
2019-07-15,28.590000,28.650000,28.180000,28.180000,27.960274,36.592400
2019-07-16,28.280001,28.330000,27.600000,27.830000,27.613003,54.789300
2019-07-17,27.990000,28.000000,27.639999,27.680000,27.464172,28.923500
2019-07-18,27.760000,27.809999,27.430000,27.510000,27.295498,35.830700
2019-07-19,27.500000,27.600000,27.370001,27.440001,27.226044,28.418900
2019-07-22,27.620001,27.750000,27.360001,27.490000,27.275654,22.304400
2019-07-23,27.510000,27.629999,27.400000,27.520000,27.305420,21.124400
2019-07-24,27.590000,27.639999,27.299999,27.350000,27.136745,27.939600
2019-07-25,27.469999,27.500000,26.809999,26.889999,26.680332,26.892300
2019-07-26,26.799999,26.799999,26.100000,26.139999,25.936180,75.644000
2019-07-29,26.219999,26.440001,25.959999,26.379999,26.174309,26.493300
2019-07-30,26.350000,26.490000,26.180000,26.240000,26.035400,38.201600
2019-07-31,26.389999,26.500000,26.020000,26.080000,25.876648,39.890200
2019-08-01,26.299999,26.559999,25.160000,26.250000,26.045322,91.345800
2019-08-02,26.370001,26.889999,26.280001,26.520000,26.313217,64.112900
2019-08-05,25.799999,26.129999,25.520000,25.549999,25.350780,48.277000
2019-08-06,25.900000,26.219999,25.680000,25.879999,25.678207,44.208100
2019-08-07,25.440001,25.730000,25.000000,25.600000,25.400391,67.698500
2019-08-08,26.100000,26.350000,25.860001,26.350000,26.144543,50.256700
2019-08-09,26.299999,26.690001,26.100000,26.280001,26.075089,36.641500
2019-08-12,25.920000,25.920000,25.540001,25.650000,25.450001,36.122000
2019-08-13,25.360001,26.129999,25.230000,25.790001,25.790001,45.330500
2019-08-14,25.260000,25.379999,24.780001,24.920000,24.920000,54.401100
2019-08-15,24.990000,25.000000,24.139999,24.230000,24.230000,53.894500
2019-08-16,24.719999,24.770000,23.889999,23.910000,23.910000,56.782000
2019-08-19,24.299999,24.500000,23.850000,24.030001,24.030001,50.699300
2019-08-20,23.910000,24.190001,23.680000,24.020000,24.020000,37.141700
2019-08-21,24.350000,25.990000,24.180000,25.450001,25.450001,87.840800
2019-08-22,25.500000,25.719999,25.160000,25.219999,25.219999,40.808800
2019-08-23,24.780001,25.370001,24.230000,24.280001,24.280001,58.032300
2019-08-26,24.580000,24.680000,23.770000,23.959999,23.959999,39.688800
2019-08-27,24.170000,24.820000,23.809999,24.340000,24.340000,70.475200
2019-08-28,24.200001,24.700001,24.120001,24.590000,24.590000,41.981500
2019-08-29,24.900000,25.500000,24.680000,25.500000,25.500000,61.008800
2019-08-30,25.530001,25.690001,25.170000,25.500000,25.500000,54.958200
2019-09-02,25.389999,25.580000,25.250000,25.299999,25.299999,19.049900
2019-09-03,25.110001,25.660000,25.030001,25.600000,25.600000,47.829600
2019-09-04,26.160000,26.370001,26.000000,26.260000,26.260000,56.179000
2019-09-05,26.600000,26.790001,26.340000,26.389999,26.389999,48.586800
2019-09-06,26.400000,26.860001,26.200001,26.520000,26.520000,48.502200
2019-09-09,26.750000,27.020000,26.700001,26.930000,26.930000,37.303000
2019-09-10,27.049999,27.350000,26.780001,27.100000,27.100000,44.109400
2019-09-11,27.350000,27.350000,26.830000,26.870001,26.870001,51.540400
2019-09-12,26.860001,27.139999,26.639999,27.059999,27.059999,41.028300
2019-09-13,27.120001,27.200001,26.820000,26.879999,26.879999,24.709400
2019-09-16,28.120001,28.240000,27.690001,28.059999,28.059999,16.7634600
2019-09-17,27.660000,27.750000,27.160000,27.690001,27.690001,67.414800
2019-09-18,27.370001,27.490000,27.219999,27.219999,27.219999,40.567100
2019-09-19,27.830000,27.850000,27.219999,27.290001,27.290001,42.155100
2019-09-20,27.350000,27.430000,27.000000,27.000000,27.000000,51.946900
2019-09-23,27.000000,27.490000,26.920000,27.480000,27.480000,32.643100
2019-09-24,27.420000,27.540001,27.150000,27.270000,27.270000,36.643400
2019-09-25,27.030001,27.350000,26.780001,27.340000,27.340000,29.038400
2019-09-26,27.400000,27.700001,27.230000,27.700001,27.700001,33.705900
2019-09-27,27.549999,27.950001,27.520000,27.660000,27.660000,31.886800
2019-09-30,27.559999,27.639999,27.400000,27.549999,27.549999,23.143400
2019-10-01,27.600000,27.730000,27.360001,27.510000,27.510000,32.423200
2019-10-02,27.219999,27.260000,26.610001,26.719999,26.719999,51.261200
2019-10-03,26.750000,26.809999,26.280001,26.740000,26.740000,46.076300
2019-10-04,26.850000,26.920000,26.270000,26.510000,26.510000,47.951600
2019-10-07,26.370001,26.600000,26.100000,26.170000,26.170000,26.252500
2019-10-08,26.170000,26.440001,25.950001,26.020000,26.020000,30.418900
2019-10-09,26.350000,26.709999,26.150000,26.520000,26.520000,35.141400
2019-10-10,26.590000,26.879999,26.540001,26.740000,26.740000,31.056500
2019-10-11,26.930000,27.360001,26.930000,27.260000,27.260000,37.055300
2019-10-14,27.040001,27.330000,26.940001,27.309999,27.309999,20.809900
2019-10-15,27.309999,27.879999,27.309999,27.600000,27.600000,30.455300
2019-10-16,27.549999,27.969999,27.360001,27.930000,27.930000,31.381300
2019-10-17,27.930000,28.000000,27.590000,27.660000,27.660000,31.405400
2019-10-18,27.889999,27.990000,27.600000,27.600000,27.600000,36.070900
2019-10-21,27.750000,27.809999,27.600000,27.770000,27.770000,43.157300
