Date,open,High,Low,close,adj_close,volume
2019-01-02,22.549999,24.200001,22.280001,24.059999,23.765604,104534800
2019-01-03,23.959999,24.820000,23.799999,24.650000,24.348383,95206400
2019-01-04,24.850000,24.940001,24.469999,24.719999,24.417526,72119800
2019-01-07,24.850000,25.920000,24.700001,25.110001,24.802757,121711900
2019-01-08,25.400000,25.420000,24.770000,24.959999,24.654589,68761800
2019-01-09,25.299999,25.500000,25.150000,25.480000,25.168226,70177600
2019-01-10,25.260000,25.410000,25.070000,25.260000,24.950920,54763700
2019-01-11,25.150000,25.190001,24.840000,24.990000,24.684223,53980700
2019-01-14,24.820000,25.090000,24.660000,24.850000,24.545937,46577300
2019-01-15,24.830000,25.120001,24.700001,24.830000,24.526182,53731500
2019-01-16,24.799999,24.900000,24.660000,24.820000,24.516304,40425000
2019-01-17,24.750000,25.299999,24.680000,25.160000,24.852144,50359400
2019-01-18,25.440001,25.559999,25.280001,25.400000,25.089207,67021300
2019-01-21,25.309999,25.530001,25.100000,25.530001,25.217615,45336500
2019-01-22,25.260000,25.500000,25.020000,25.129999,24.822510,61307000
2019-01-23,25.330000,25.540001,25.160000,25.430000,25.118839,52931600
2019-01-24,25.400000,25.540001,25.320000,25.540001,25.227497,40109000
2019-01-28,25.290001,25.530001,24.740000,24.770000,24.466917,65079900
2019-01-29,25.250000,25.559999,25.110001,25.370001,25.059574,59419200
2019-01-30,25.809999,25.930000,25.469999,25.620001,25.306515,62607500
2019-01-31,25.870001,25.959999,25.559999,25.580000,25.267004,63253600
2019-02-01,25.500000,25.850000,25.370001,25.799999,25.484310,47957400
2019-02-04,25.840000,26.120001,25.600000,26.030001,25.711498,53874900
2019-02-05,25.910000,26.100000,25.809999,26.080000,25.760887,40989100
2019-02-06,25.799999,25.840000,25.320000,25.490000,25.178106,64527000
2019-02-07,25.600000,25.850000,24.660000,25.090000,24.782999,55614100
2019-02-08,24.799999,25.280001,24.730000,25.129999,24.822510,40153900
2019-02-11,25.170000,25.170000,24.540001,24.840000,24.536058,39617300
2019-02-12,25.320000,25.850000,25.230000,25.719999,25.405291,72467200
2019-02-13,26.020000,26.209999,25.850000,26.049999,25.731253,69042200
2019-02-14,26.170000,26.950001,26.000000,26.950001,26.620241,81125500
2019-02-15,26.860001,27.020000,26.709999,26.840000,26.511587,63841800
2019-02-18,26.590000,26.790001,26.410000,26.760000,26.432568,43379000
2019-02-19,26.860001,27.400000,26.840000,27.379999,27.044979,58041900
2019-02-20,27.500000,27.660000,26.870001,27.040001,26.709141,55114500
2019-02-21,27.180000,27.490000,26.820000,27.400000,27.064734,46559400
2019-02-22,27.549999,27.700001,27.129999,27.129999,26.798038,36602000
2019-02-25,27.000000,27.030001,26.629999,26.700001,26.373302,54190800
2019-02-26,26.760000,27.139999,26.570000,26.580000,26.254768,46504200
2019-02-27,26.840000,27.250000,26.629999,27.080000,26.748650,49131400
2019-02-28,27.719999,27.750000,26.600000,27.059999,26.728895,93065100
2019-03-01,27.139999,27.250000,26.629999,26.700001,26.373302,41978700
2019-03-06,26.549999,26.760000,26.469999,26.760000,26.432568,18423400
2019-03-07,26.799999,26.910000,26.490000,26.770000,26.442444,32835300
2019-03-08,26.490000,26.750000,26.219999,26.670000,26.343668,49564400
2019-03-11,27.020000,27.780001,27.010000,27.750000,27.410452,66742800
2019-03-12,27.790001,27.959999,27.250000,27.500000,27.163511,64287300