vale5,petr4,itub4,petr3
45.32,28.22,32.69,28.34
46.04,28.4,32.83,28.63
46.59,28.85,33.45,29.11
45.44,29.12,33.29,29.02
45.1,28.9,33.28,29.62
47.71,29.98,34.22,30.16
47.75,30.15,35.03,30.44
47.66,30.42,35.53,30.3
47.86,30.35,35.68,30.11
47.86,30.1,34.68,29.95
46.93,30.06,34.28,30.42
48.1,30.45,34.64,30.18
48.42,30.32,34.75,30.42
48.32,30.24,34.66,30.7
48.4,30.02,35.25,30.2
48.9,30.52,35.36,30.59
48.59,31,35.23,31.15
49.79,29.66,35.87,29.91
49.69,29.83,35.39,29.55
47.95,29.47,35.17,30.2
48.24,30,35.33,29.94
47.89,29.77,36.03,29.49
46.45,29.19,35.17,29.04
46.52,29,34.03,29.02
46.52,28.82,33.09,28.54
45.52,28.11,32.86,27.66
46.01,27.97,33.5,28.05
45.57,28.27,33.94,28.17
45.1,28.12,34.09,27.4
43.48,27.1,33.91,26.8
43.32,26.91,33.53,26.76
42.8,26.41,33.14,26.89
43.28,26.76,33.15,27.24
43.89,27.63,33.54,28.01
44.15,27.9,34.08,26.89
43.84,26.49,33.82,26.76
43.65,26.74,34.2,26.78
43.69,26.38,34.35,27.01
43.89,26.5,35,27.13
44.88,27.1,35.1,27.5
46.5,27.96,35.89,27.51
45.16,27.85,35.2,28.31
45.49,28.62,36.72,28.84
47.18,28.87,37,28.77
46.48,28.2,36.8,28.02
46.62,28.47,35.49,28.41
46,28,34.45,28.59
47.84,29.21,34.93,29.19
48.4,28.35,34.88,29.04
49.81,28.79,34.82,29
50.01,28.7,35.77,28.69
50.26,28.89,37,28.54
50.23,28.54,36.85,29.39
50.49,29.46,36.2,30.11
50.65,30,37.35,30.29
51.76,30.25,37.38,30.14
52.45,30.1,37.02,30.2
52.72,30.06,36.4,30.09
52.59,30.07,37.37,30.5
52.69,30.4,36.4,30.71
53.05,30.6,36.5,30.89
52.69,30.97,36.36,31.61
51.81,31.5,36.46,31.38
52.05,31.3,37.15,30.83
52.13,30.72,37.2,30.81
50.95,30.61,37.3,30.08
50.36,30.03,37.4,30.02
51.67,30.16,36.99,30
51.29,29.77,36.57,29.61
51.39,29.47,35.95,29.86
53.65,29.92,36.08,30.44
51.82,30.02,36.26,30.11
51.7,29.89,36.25,30.26
51.58,30.55,36.5,30.31
51.38,30.7,35.65,31.5
52.4,31.66,36.1,31.88
52.44,31.79,36.18,31.11
52.3,30.84,35.38,30.5
52,30.61,34.83,30.44
50.2,30.15,33.95,30.2
51.4,30.19,33.99,29.65
51.85,29.91,33.98,30
51.49,29.51,34.6,29.75
51.43,29.95,34.8,29.48
48.34,29.35,34.63,29.7
48.66,29.85,35.07,29.49
48.8,29.06,34.7,29
48.39,28.61,34.34,29.08
49.11,29.02,35.02,29.3
48.83,28.85,35.08,28.5
49,28.23,35,28.62
50.01,28.85,35.08,28.95
49.7,28.9,34.72,28.86
50.25,29.13,34.08,28.61
50.19,28.74,33.15,28.55
48.31,28.33,33.03,28.57
47.82,28.27,33.53,28.47
47.46,28.77,33.6,28.77
47.41,28.8,33.56,28.25
46.75,28.07,32.32,27.64
47.72,27.56,31.5,27.53
46.4,27.78,31.44,28.17
47.95,28.32,31.85,28.11
47.59,28.52,31.75,28.69
47.43,28.51,31.9,28.71
49.46,29.35,32.41,29.37
48.54,29.36,32.56,29.75
49,30.22,32.97,29.28
49.7,29.22,32.6,29.25
49.66,29.54,32.97,29.24
50.4,29.56,33.71,29.85
48.94,29.51,34.04,29.7
50.1,29.96,33.83,30.37
50.25,30.25,33.53,30.78
50.42,30.39,33.8,30.56
50.33,30.66,33.72,30.34
50.36,30.58,33.21,31.12
51.92,31.12,33.16,31.2
51.3,30.87,32.74,30.81
52.58,30.76,32.83,30.65
52.25,30.18,32.39,30.35
53.1,30.15,32.9,29.2
51.33,29.11,32.93,29.8
51.48,29.13,32.95,30.29
51.79,31.85,33.3,32.19
51.76,32.27,34.09,32.93
52.35,32.45,34.15,32.67
53.39,32.74,34.34,32.18
51.98,32.05,34.55,31.45
52.16,31.35,33.82,30.68
51.78,30.35,33.32,31.13
51.63,31,33.62,31.01
52.6,30.87,34.16,31.42
50.93,31.15,34.43,31.33
49.3,30.96,34.1,30.31
49.6,30.45,32.8,31.35
50.28,31.93,33.95,31
49.55,30.65,33.6,30.61
50.05,30.77,33.55,31.66
50.89,32.31,34.57,32.7
50.56,32.97,35.19,32.69
51.9,32.77,36,32.49
50.46,32.26,36.86,31.66